MemberList,Uin,UserName,NickName,HeadImgUrl,ContactFlag,MemberCount,RemarkName,HideInputBarFlag,Sex,Signature,VerifyFlag,OwnerUin,PYInitial,PYQuanPin,RemarkPYInitial,RemarkPYQuanPin,StarFriend,AppAccountFlag,Statues,AttrStatus,Province,City,Alias,SnsFlag,UniFriend,DisplayName,ChatRoomId,KeyWord,EncryChatRoomId,IsOwner
[],0,@a432862cc83cfeae034489cb48052636,雷军,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=633540207&username=@a432862cc83cfeae034489cb48052636&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,和大家分享一些有关小米、金山的信息，和我个人的一些见闻。,24,0,LJ,leijun,,,0,0,0,0,北京,,,0,0,,0,gh_,,0
[],0,@c501c7ebe37d38197d82a3705e6ad5db,滴滴快车服务号,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=633550182&username=@c501c7ebe37d38197d82a3705e6ad5db&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,滴滴快车是一种连接美好事物的生活方式。有速度，更有自己的态度。滴滴一下，美好出行！,24,0,DDKCFWH,didikuaichefuwuhao,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@abb630daf9058dc729b282fd811bd764,招商银行,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=624812480&username=@abb630daf9058dc729b282fd811bd764&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,小招贴心服务：智能客服、信用卡账单查询、团购特惠、办卡贷款。 马上关注，抽iPhoneX,24,0,ZSYX,zhaoshangyinxing,,,0,0,0,4,广东,深圳,,0,0,,0,gh_,,0
[],0,@443b1fff71157dc2f32f1c978407bd6f,DeepTech深科技,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636448237&username=@443b1fff71157dc2f32f1c978407bd6f&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,“DeepTech深科技”是与麻省理工科技评论官方独家合作的一个新科技内容品牌。我们专注于关注三个方面：1.基于科学的发现；2.真正的科技创新；3.深科技应用的创新。,24,0,DEEPTECHSKJ,DeepTechshenkeji,,,0,0,0,0,北京,朝阳,,0,0,,0,gh_,,0
[],0,@8db5a66685e9c68f654df966809696d1,机器之心,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636448253&username=@8db5a66685e9c68f654df966809696d1&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,专业的人工智能媒体和产业服务平台,24,0,JQZX,jiqizhixin,,,0,0,0,0,北京,朝阳,,0,0,,0,gh_,,0
[],0,@7a29f0118c3bf51aa65fd565977e5606,环球科学ScientificAmerican,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636448260&username=@7a29f0118c3bf51aa65fd565977e5606&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,《科学美国人》独家授权中文版—《环球科学》杂志—www.huanqiukexue.com,24,0,HQKXSCIENTIFICAMERICAN,huanqiukexueScientificAmerican,,,0,0,0,0,北京,朝阳,,0,0,,0,gh_,,0
[],0,@56d13a443c0f207f7c3cbb8a82f32afb,科研圈,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636448274&username=@56d13a443c0f207f7c3cbb8a82f32afb&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,“科学美国人”中文版《环球科学》运营，第一时间推送顶级学术期刊摘要、前沿研究成果、精彩讲座与会议报告，服务一线科研人员。,24,0,KYJ,keyanjuan,,,0,0,0,0,北京,朝阳,,0,0,,0,gh_,,0
[],0,@61695d367ea2931fa0483626dddae3ef,中科院高能所,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636448281&username=@61695d367ea2931fa0483626dddae3ef&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,中国科学院高能物理研究所官方微信,24,0,ZKYGNS,zhongkeyuangaonengsuo,,,0,0,0,0,北京,石景山,,0,0,,0,gh_,,0
[],0,@0d424a6f1f5ed0516a80445b34be87b0,柠檬博士讲科学,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636448288&username=@0d424a6f1f5ed0516a80445b34be87b0&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,王立铭，浙江大学教授，生物学家，科普写作者，奶爸，喜欢动笔写科学、科幻、科学思维还有科学育儿。。。,8,0,NMBSJKX,ningmengboshijiangkexue,,,0,0,0,0,浙江,杭州,,0,0,,0,gh_,,0
[],0,@cc180269180440f0b1e8f73da7c8f7d8,中国生物技术网,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636448295&username=@cc180269180440f0b1e8f73da7c8f7d8&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,中国生物技术信息网官方微信平台,24,0,ZGSWJSW,zhongguoshengwujishuwang,,,0,0,0,0,北京,朝阳,,0,0,,0,gh_,,0
[],0,@bd53fe9354bd69b6abf2718b15cfc78c,知识分子,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636448302&username=@bd53fe9354bd69b6abf2718b15cfc78c&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,《知识分子》是由饶毅、鲁白、谢宇三位学者创办的移动新媒体平台，致力于关注科学、人文、思想。我们将兼容并包，时刻为渴望知识、独立思考的人努力，共享人类知识、共析现代思想、共建智趣中国。欢迎关注。,24,0,ZSFZ,zhishifenzi,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@f41f5e70939dfd0080f5afcbcc4cb113,优酷土豆路由宝,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636450380&username=@f41f5e70939dfd0080f5afcbcc4cb113&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,优酷优金币的官方微信，功能包括提供最新的兑换礼品及奖金信息，更多精彩，敬请关注,8,0,YKTDLYB,youkutudouluyoubao,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@087889456d7d75c49f660d15d50b8104,董老师在硅谷,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636451698&username=@087889456d7d75c49f660d15d50b8104&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,硅谷工程师，关注创业趋势，大数据，在线教育，社交自媒体。分享技术，体验职场，书写成长，欢迎交流，一起进步。,8,0,DLSZGG,donglaoshizaiguigu,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@b4f6423835f8cc3869b2924a03529ff3,人工智能学家,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636451703&username=@b4f6423835f8cc3869b2924a03529ff3&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,致力成为权威的人工智能科技媒体和前沿科技研究机构,24,0,RGZNXJ,rengongzhinengxuejia,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@95e63fc896fff8fb20db346d6e2f2e7e,PlayTask,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=636451950&username=@95e63fc896fff8fb20db346d6e2f2e7e&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,Tomorrow is another game.,8,0,PLAYTASK,PlayTask,,,0,0,0,0,江苏,南京,,0,0,,0,gh_,,0
[],0,@211cff8a9afc763c13f05a7e82b711f3,异能FM,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=638850367&username=@211cff8a9afc763c13f05a7e82b711f3&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,异能电台 － 发现、传播、交流有价值的设计思考，使你从阅读者转变为一个思考者。这里有业界名家访谈，设计师干货分享，异能交流群组，让你脑洞开不停！,8,0,YNFM,yinengFM,,,0,0,0,0,California,Pasadena,,0,0,,0,gh_,,0
[],0,@be21c4703eabe25662e03803040733d8,看得见光的地方,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=638852295&username=@be21c4703eabe25662e03803040733d8&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,分享摄影经历和一点其他感受，可能什么都有,8,0,KDJGDDF,kandejianguangdedefang,,,0,0,0,0,湖北,武汉,,0,0,,0,gh_,,0
[],0,@a40b133b2915b4e46d9d8a49615e6667,有道云笔记,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=638856189&username=@a40b133b2915b4e46d9d8a49615e6667&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,有道云笔记是一款能在电脑、手机、网页、平板使用的笔记应用。你在任意一个平台编辑的内容，都可在其他平台浏览和修改。同时还可以一键收藏微博、微信、网页等，永久保存和管理你珍爱的内容。,24,0,YDYBJ,youdaoyunbiji,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@a0816dfb360ae0709daca0f545f36ca4,变形大师,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=638856203&username=@a0816dfb360ae0709daca0f545f36ca4&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,面向普通人减脂者和健身者，尊崇科学和理性的健身减脂公众号；试图为普通人提供系统，易用，考虑周全的健身减脂体系。除了「科学」，「理性」，和「普通人」这三个关键词外，主笔人不在意任何其他玩意，尤其不会照顾低碳水神棍和类固醇兄贵们的情绪，呵呵。,8,0,BXDS,bianxingdashi,,,0,0,0,0,北京,东城,,0,0,,0,gh_,,0
[],0,@cd6f93d93806251d0b359e6b4e2e7376,VR次元,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=638856883&username=@cd6f93d93806251d0b359e6b4e2e7376&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,国内VR领域最权威媒体，重磅新闻、原创解读、新品评测、现场体验、线下分享会……关于VR的信息应有尽有。,24,0,VRCY,VRciyuan,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@417903e4b541f865bbfe697eae788aa7,艾邦高分子,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=638857942&username=@417903e4b541f865bbfe697eae788aa7&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,艾邦高分子平台目前拥有18万+粉丝，用于推送塑料，弹性体等高分子材料知识，以及在汽车、通讯、电子电器、薄膜管材等领域的应用方案，搭建上下游以及周边产业链，技术、供求、人才交流平台；网址：http://bbs.polytpe.com,24,0,ABGFZ,aibanggaofenzi,,,0,0,0,0,广东,深圳,,0,0,,0,gh_,,0
[],0,@61b2bf76876b9280574be5fe8fe4fde2,清华研读间,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=644091026&username=@61b2bf76876b9280574be5fe8fe4fde2&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,这里将分享关于高等教育以及社会转型的观察和评论，此外还包括社会科学研究方法的介绍和探讨，旨在为理解中国社会的运行逻辑提供认识论和方法论的对话基础。,8,0,QHYDJ,qinghuayandoujian,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@86138b0e6b4315468cb235796c6990c1,麦当劳,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=633545596&username=@86138b0e6b4315468cb235796c6990c1&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,新品推荐、最新优惠券及附近门店推荐服务,24,0,MDL,maidanglao,,,0,0,0,0,,,,0,0,,0,mcd,,0
[],0,@4107a1e5b9228d6d00636a91838f7302,数据冰山,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=644093010&username=@4107a1e5b9228d6d00636a91838f7302&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,透过数据挖掘与分析，呈现互联网海面下隐藏的冰山一角,24,0,SJBS,shujubingshan,,,0,0,0,0,广东,深圳,,0,0,,0,gh_,,0
[],0,@f77ba39f5b3e2d62ab9c967b48c45737,微信运动,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=630951212&username=@f77ba39f5b3e2d62ab9c967b48c45737&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,也许你早已习惯一个人运动的孤独，却也偶尔渴望得到赞赏。加入微信运动，和朋友一起点赞互动、抢占封面，分享运动的快乐。,24,0,WXYD,weixinyundong,,,0,0,0,0,广东,广州,,0,0,,0,gh_,,0
[],0,@977b4dda88f5d86f6c2a144aa85578f7,腾讯公益,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650831897&username=@977b4dda88f5d86f6c2a144aa85578f7&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,腾讯公益移动服务平台。为您提供公益项目查看，捐赠，善款反馈的一站式服务体验。,24,0,TXGY,tengxungongyi,,,0,0,0,0,广东,深圳,,0,0,,0,gh_,,0
[],0,@8bf80624c2848c59f06fc3106e0b837a,小米手机,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650832528&username=@8bf80624c2848c59f06fc3106e0b837a&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,关注小米手机服务号，第一时间获取咨询、订单查询、售后申请等服务,24,0,XMSJ,xiaomishouji,,,0,0,0,0,北京,朝阳,,0,0,,0,gh_,,0
[],0,@d5053b838817315a8181ad8bf1319abb,MIUI,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650832531&username=@d5053b838817315a8181ad8bf1319abb&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,MIUI也许是世界上最好用的安卓定制系统！它完美兼容原生安卓应用和游戏。它有数百万发烧友共同参与改进，开发版每周更新，现已历经300余周迭代升级。现在MIUI不仅好看好用，它还有更酷的服务功能，让你的生活更方便。,24,0,MIUI,MIUI,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@845dd5178fdce6811c075a0c34f0bae4,网易中国大学MOOC,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650833109&username=@845dd5178fdce6811c075a0c34f0bae4&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,中国大学MOOC是由网易与高教社携手推出的在线教育平台，承接教育部国家精品开放课程任务，向大众提供中国顶尖高校的MOOC课程。在这里，每一个有意愿提升自己的人都可以免费获得最好的高等教育。,8,0,WYZGDXMOOC,wangyizhongguodaxueMOOC,,,0,0,0,0,浙江,杭州,,0,0,,0,gh_,,0
[],0,@6c045979e2926fb3400f015a76e1159a,小米手环,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650833123&username=@6c045979e2926fb3400f015a76e1159a&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,用于产品的运营业务,24,0,XMSH,xiaomishouhuan,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@79950dbdb995a4af68e558c4d9c65e09,小米公司,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650833126&username=@79950dbdb995a4af68e558c4d9c65e09&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,小米公司官方公众号，为你推送新品资讯、最新要闻，敬请关注。,24,0,XMGS,xiaomigongsi,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@4d995c388b4e0c9d1f48148f4f2cdfdf,采铜的创想世界,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650833275&username=@4d995c388b4e0c9d1f48148f4f2cdfdf&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,我是采铜，一个心理学者，主要做一些学习、思维方法相关的研究，写了一本书《精进：如何成为一个很厉害的人》，做了一个付费节目叫《采铜·好书精读》（在网易云音乐app），平时在知乎上活动，居住在杭州。,8,0,CTDCXSJ,caitongdechuangxiangshijie,,,0,0,0,0,浙江,杭州,,0,0,,0,gh_,,0
[],0,@cda1c9663d78826a191178e76f0919e5,华米科技,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650835376&username=@cda1c9663d78826a191178e76f0919e5&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,华米科技公司官方公众号，为华米科技公司相关产品提供服务。,24,0,HMKJ,huamikeji,,,0,0,0,0,安徽,合肥,,0,0,,0,gh_,,0
[],0,@08d96a127b45f8752c56678120692397,漂移板马拉松,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650841420&username=@08d96a127b45f8752c56678120692397&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,漂移板运动推广  、漂移板马拉松赛服务平台,8,0,PYBMLS,piaoyibanmalasong,,,0,0,0,0,湖北,武汉,,0,0,,0,gh_,,0
[],0,@81c95ae34a238ffbe3f8827845164e02,企鹅智酷,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650842264&username=@81c95ae34a238ffbe3f8827845164e02&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,企鹅智酷是互联网产业趋势研究数据分析的专业机构。拥有“企鹅智酷”、“新生代研究院”、“真象”、“IGV-全球创投研究院”、“Android生态研究院”五档数据&amp;商业研究栏目，以及“数据与研究力”开放平台。,24,0,QEZK,qiezhiku,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@b9cdfaf7eca9fa31faf0a46a80623f0a,腾讯科技,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650842267&username=@b9cdfaf7eca9fa31faf0a46a80623f0a&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,腾讯新闻旗下腾讯科技官方账号，在这里读懂科技！,28,0,TXKJ,tengxunkeji,,,0,0,0,98304,北京,海淀,,0,0,,0,qqt,,0
[],0,@f1c0b14b86e45d80e84fa62abbe01c47,企鹅科学,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650842270&username=@f1c0b14b86e45d80e84fa62abbe01c47&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,欢迎来到“企鹅科学”! 全民娱乐的时代我们要给你吹来科学的清风，在这里你将看到前沿的科学技术，热点的科学新闻，绚烂的科幻世界。来吧！和我们一起荡起科学的双桨！,24,0,QEKX,qiekexue,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@d3a6c310ed53f6b842435d37a7a298f5,金爸爸教你学数学,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650850672&username=@d3a6c310ed53f6b842435d37a7a298f5&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,福州市某一类校非主流数学教师的公众号！一位免费的私人教师！提供高中数学全部知识点的视频讲解，以及疑难解答，每天推送各种精彩题目和栏目。一位兴趣广泛的逗逼老师，给你带来最轻松快乐的数学。从此数学不再枯燥无味，还等什么？加入我们的Team吧！！,24,0,JBBJNXSX,jinbabajiaonixueshuxue,,,0,0,0,0,福建,福州,,0,0,,0,gh_,,0
[],0,@4bd7138f333b36d33a7b7bdc6bb6e57c,缪斯夫人,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650851735&username=@4bd7138f333b36d33a7b7bdc6bb6e57c&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,这里没有鸡汤和狗血，这里只有你意想不到的态度和角度。缪斯夫人，一个与众不同的情感公号，我们用数据和事实说话。,24,0,MSFR,miaosifuren,,,0,0,0,0,北京,东城,,0,0,,0,gh_,,0
[],0,@8a1f5f5d5512eacdbffe224de975e7af,郎启旭的写字本,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650854311&username=@8a1f5f5d5512eacdbffe224de975e7af&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,聊聊产品，说说设计，这里是郎启旭的写字本。,8,0,LQXDXZB,langqixudexieziben,,,0,0,0,0,广东,珠海,,0,0,,0,gh_,,0
[],0,@87d23b3b02e09b45cedbeaa7b795bc3d,信用卡还款,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650865972&username=@87d23b3b02e09b45cedbeaa7b795bc3d&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,腾讯官方服务，关注后可免费设置提醒、还信用卡，即将支持账单查询，新功能求照求关注~,24,0,XYKHK,xinyongkahaikuan,,,0,0,0,0,广东,深圳,,0,0,,0,gh_,,0
[],0,@f7f082e285e6c1d0f6b30ca937cb9b90,EMS中国邮政速递物流,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650868192&username=@f7f082e285e6c1d0f6b30ca937cb9b90&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,EMS官方唯一微信服务号。欢迎使用中国邮政速递物流EMS，为您提供快速下单、EMS运单号查询，邮件信息跟踪并主动推送等功能服务。,24,0,EMSZGYZSDWL,EMSzhongguoyouzhengsudiwuliu,,,0,0,0,0,北京,西城,,0,0,,0,gh_,,0
[],0,@fb1b6ee05f9a077b831b3e3d100a24a2,夜神K2,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650871324&username=@fb1b6ee05f9a077b831b3e3d100a24a2&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,基因组科学与产业科普、评论与吐槽。对基因测序行业各种奇奇怪怪的东西进行惨无人道的一派胡言破脏水。,8,0,YSK2,yeshenK2,,,0,0,0,0,Central and Western,,,0,0,,0,gh_,,0
[],0,@c7414b59ffbdd4dec315cc944e90ca2e,广州移动,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=650875426&username=@c7414b59ffbdd4dec315cc944e90ca2e&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,话费、套餐、流量、宽带随时查询，在线客服、账单查询、发票开具一键办理。,24,0,GZYD,guangzhouyidong,,,0,0,0,0,广东,广州,,0,0,,0,gh_,,0
